Review	Sentiment
Sta reci, sem ODLICNO. Pizza je stigla vrela, veoma bogata, isto kao i palacinka. Sve pohvale! Sigurno narucujem opet.	1
Fenomenalno,pica dostavljena za 25 min i jos meka i topla.Sve pohvale,samo tako nastavite	1
Klopa je odlicna, dostava brza. Narucila sam porodicni rucak, online, i pisalo je da stize za 60 minuta. Stiglo je za 30!	1
Odlično, kao i uvek, dobro spremljeno i na vreme.	1
Pica je masna , puna nekog nekvalitetnog sira.i nikako da shvate da se prvo stavlja sir a onda dodaci...Zamolio sam da korica bude hrskava ili ni to nisu ispostovali	0
Jako lose i dostava duza od obecanja!	0
Porucili smo pizzu koja nam je nakon 60min stigla hladna...	0
Najsuvlja lepinja ikad. pomfrit jako tvrd a ni meso nije bas najbolje. Bar je dostava bila i pre vremena ali ne znam da li bi narucio opet, mora to i moze mnogo bolje...	0
Sve pohvale	1
Narucujem maltene svaki dan - izuzetna usluga, vrhunska hrana (preporuka za paste omnomnom).UUu i savrsene su palacinke!	1
Sudžuke su neke obične kobasice, ćevapi tek na tragu klasičnog kafanskog ćevapa... Preskupo za ono što nude!	0
mislim da smo ubedljivo jedni od najcescih musterija! sta da vam kazemo, jednom kad ih isprobate, necete hteti da ih menjate :D	1
odlična pizza, najprijatnije iznenadjenje na donesi.com ikada.. samo nastavite..	1
fenomenalno ! dostava je stigla i pre vremena ! :-) svaka cast !	1
Kolenica u testu je stvarno odlicna i veoma velika prijatno smo se iznenadili. Dostava je stigala na vreme, jelo je bilo toplo.	1
Odlična hrana, brza dostava	1
Western bacon je strava, ustvari bilo koji da uzmete necete pogresiti. Brzi su isto.	1
Vreme dostave 1 h i 20 min	0
Super i brzo :)	1
Umesto za 45min kako je bilo najavljeno isporuka je trajala sat i 45min. Hrana je bila topla, pomfrit polu hladan. Samo jer je neki put da narucujem i nikad nisu ovoliko kasnili ocena je osrednja.	0
Odlicna hrana, velike porcije i brza dostava	1
Hrana je bila jako loša. Naplaćuju i ambalažu pa to je sramota... Ovde više neću jesti to je sigurno	0
Odusevljen sam cinjenicom da postoji ovako nesto kod nas. Na vreme je stiglo i zadovoljan sam!!	1
Sve preporuke, odlicno!	1
vesalica nije bila pecena	0
zaista sjajno	1
Na vreme stiglo, velika porcija, ukusno.  Sve pohvale	1
pica je vrhunska, prepuna je i vise nego dovoljna za jednu osobu.	1
Palacinke su odvratne, karadjordjeva nije bila losa i cene nisu strasne.	0
Rolnice hladne, povrce sa nudlama kombinacija pirincanih nudli i spageta... Razocarana	0
Pitu samo nisu doneli.	0
Kasnili su pola sata, na kraju nisam ni uzeo hranu.	0
teleca corba je puna mesa i vrlo ukusna, gulas odlican, prebranac cudan.	0
Pica je stigla hladna. Takodje je puna soli! Verovatno ovde vise necu porucivati!	0
mala porcija za 1100 dinara..	0
Pitice su odlicne! Gurmanska je mogla da bude malo vise ljuta, piletina je bila pretvrda i malo bljutava. Sve pohvale za caciki sos.	0
pasulj bez mnogo pasulja, nije los ukus	0
Picu necu ni da komentarisem , jedva jestiva. Ali dostavljac koji je probudio pola komsiluka u 1:30 ujutru??!! Isao covek od vrata do vrata i zvonio dok nije potrefio . . .	0
Nije ni blizu kao u Sarajevu. Stim da je najzalosniji deo, da u Saraje u sigurno ne jedu svinjetinu!!!!	0
Picerija se zove Zero-Zero, mogu reći da je naziv u skladu sa kvalitetom...	0
Teletina u sosu od ostriga, bolje receno u sosu od kupusa.  Porcija od 600 dinara bez grama pirinca.  Ali sam ukus hrane je zadovoljavajuci ali ne za ovu cenu. Sve u svemu, precenjena hrana.	0
Nije lose al moze to i bolje.pojacajte malo fil posebno pecurke.	0
Ako trazim pomfrit odvojeno od girosa, onda mi dajte pomfrit odvojeno od girosa.	0
Sve pohvale. Preporucujem.	1
Dosta jak ukus ima i debele slojeve sira, baš jako dominira i frulice od šunke su veoma jake. Bilo bi lepše da se to malo proredi da bi se osetilo još nešto.	0
preporuka kao i uvek!	0
nista specijalno	0
Ocekivao sam vise od kvaliteta hrane	0
svaka cast miletu i ko god ovo vodi	1
Zaboravili su pice koje je placeno uz porudzbinu..... neozbiljno....	0
Svaki put sve bolja hrana	1
Nisam zadovoljan uopste,usluga nije losa ali hrana ocaj.Pirosku sam narucio,testo zivo razvlaci se,prvo sam pomislio da je kackavalj a kada sam bolje pogledao zgadilo mi se...	0
odlicni sendvici, fina pica, brza dostava	1
Ja kolko znam da racunam pola sata nije isto sto i sat vremena... Usluga losa! A hrana nije daleko od usluge po kvalitetu.	0
Ukusno, povoljno i brzo!	1
pene u pesto sosu, je testo posuto sa malo persuna. mislim da su i na soli stedeli.	0
Sve sto sam jeo je i te kako valjalo!!!	1
Drugi put sam narucio kod njih, sjajni su utisci. Stigla je hrana pre vremena, dostavljac ljubazan, sve preporuke.	1
dobra klopa(lepo toplo) i nije se prosuo pepsi(ovej put) :)	1
Odlican izbor hrane, stigla topla i ukusna.	1
supeeer hrana, pohovane lignje u sečuan sosu su extra, preporučio bih svakom da proba! :)	1
Piza Margarita Parmenzan gorgonzola= Raj za one koji vole sireve!	1
Narucio sam jednu veliku i jednu malu porciju i platio tako, a dobio sam dve male. Hrana je ok.	0
Pica je bila odlicna, stigla za rekordnih 15 minuta. Sigurno cemo opet narucivati	1
pasta je super, porcije su vise nego dovoljne.	1
Da li zbog toga što su bili praznici, ali u svakom slučaju kvalitet ribe je nedopustiv.	0
klopa stigla u naznaceno vreme, toplaaaaaa i ukusnaaaa xD	1
Nije bilo lose	0
odlicni ste	1
Narucili bolonjeze dobili karbonaru... strasno..	0
Napisite tacnu  cenu dostave, da bi mogli ljudi da kalkulisu koliko je dostava, ako su bas kratki sa parama i vi im lupite cenu dostave 400 dinara i sta da rade onda ?	0
Hrana je katastrofa, bacio sam pola porcije.	0
kupus i samo kupus..	0
Izuzetno ukusna pica, veoma brza isporuka, povoljna cena	1
Vrlo ukusan juneći gulaš, lepinja sveža kao i kupus salata!	1
"Receno da stize za 45 min, stiglo za 1:55 min. Naravno sve je hladno. Dostavljac na to kaze: ""Ako mozes brze, dodji da radis kod nas druze"". Dalji komentari su bespotrebni."	0
Nisam dobio kecap uz picu. Kazu da se posebno narucuje.	0
Vise od sat vremena sam cekala,stigla hladna pica ..	0
"Jednostavno rečeno - savršeno!  Odlična obrok salata, vrhunski ukus i prava kombinacija salata  i ostalih ""sastojaka "", za svaku preporuku!!!  Isporučeno je u obećano vreme, i lepo aranžirano"	1
Vrlo ukusno, povoljno, porcije odgovarajuće, brza dostava!!	1
Obrok salata sa algama je totalni fijasko. Pica hmm... ja to ne bi tako nazvao. Bezukusno, skromno, a sastojci su loseg kvaliteta. Piletina paprika je odlican izbor za one koji vole kari.	0
Hladna klopa	0
Kao i uvek, prezadovoljan. Odlicna usluga, dostavljac jako ljubazan.	1
porcije su zaista velike sli ne bas preukusne.meso je dosta suvo i ne bas sveze.	0
Giros je gorak. Konzorcijum utvbrdio - ulje.	0
"Naručeni brusketi. 3 različite vrste. pečenica, kulen, pršuta. stigli malo pre vremena, topli, jako ukusni. nastavljamo  ""druženje"" :-D i dalje drže i cene i kvalitet. vrlo zadovoljan"	1
Doneli su mi dve slane palacinke umesto jedne slane i jedne slatka sto je poruceno. Kada sam ih zvao da vidim sta je problem dobio sam VIP govornu poštu.	0
Prijatno iznenadjenje, narucili smo tortilje i bile su odlicne, raznovrsno povrce, piletina spremnjena bas kako treba, definitivno porucujem od njih ponovo!	1
Stliglo pre vremena, pica puna ko oko, ne škrtare na sastojcima ko pojedini. Moja preporuka.	1
Brza dostava oko 30-40 min. Odlična hrana i puno mesa i ostalih sastojaka	1
LJudi ovo je vrh :)	1
Poručili smo dva njihova jela koja se iz menija. Od svega po malo, a u stvari ništa specijalno.	0
jako ukusna pizza po vrlo pristupačnoj ceni. nigde nećete naći bolju porodičnu pizzu za 600din	1
Veoma smo zadovljni restoranom i usugom	1
Stigla polu hladna i neisecena.	0
Bolje burgere nisam jeo!	1
pavlaka je bila baš kisela....nećemo  više naručivati odavde sorry :(	0
Stiglo brzo, sve toplo i ukusno. Toplo preporucujem telecu corbu, izuzetno je dobra i kvalitetna.	1
Kao i na autokomandi hrana standardno dobra, po mom skromnom misljenju najbolji kinezi kod nas, drago mi je sto ih sada ima po celom Beogradu pa mogu da narucim gde god se nalazim.	1
Isporuka je kasnila oko 45 min.	0
stiglo ta 25 min, pisalo za  45. prevelik sendvič, odlično	1
odlican 5+	1
oćemo li danas?	0
kao i uvek, sve sveze i toplo...isporuka i ispod naznacenog vremena!	1
sve preporuke stiglo je na vremen dobra hrana neba bolje	1
Meso je bilo malo zilavije ali je sve ukupno bilo vrlo dobro.	1
Fenomenalne kao i uvek !	1
narucili smo 2 palacinke i koka-kolu.koka kolu NISMO dobili,a sto se tice ovog drugog u jednoj su bile banane a nisu trebale i porcije su im male za taj novac.u svakom slucaju :(	0
pomfrit je bio neslan i nikakav. kasnili su oko 15 minuta.	0
Ponovo smo i danas zadovoljni kvalitetom hrane i usluge. Oslic fantasticno pripremljen, krompirici takodje, sve se smazalo jer je bilo ukusno i super pripremljeno :) Topla preporuka!	1
Mnogo je ukusna hrana! Topla, sveza! Sve pohvale.	1
Burger fantastičan. Palačinke sa marmeladom užasne. To nije marmelada!	0
Ako stave vec sat vremena, a posle sat i deset ih nema ni od korova, zar je uopste bitno bilo sta drugo? Jednostavno aljkavo i neprofesionalno.	0
Pica je jedna od boljih,a nema picerije u kojoj nisam narucivao..sto na poslu u gradu,sto kuci..sve pohvale.	1
troje lazanja zagorelih...ukus i kolicina porazavajuce..bacis pare i ostanes gladan...samo je cijena na nivou prvoklasnih lazanja...sramota :(	0
Klopa vrh, preukusno!Porcija ekstra!Dostavljac Car, pohvale za njega.Takodje cene su i vise nego povoljne za kolicinu porcije. Svaka preporuka. :-D	1
Preporucujem rolovano belo meso, fenomenalno je! Dostava bila brza, cak i prije nego sto je receno.	1
Odlična hrana, odlicne porcije i dostava. Toplo preporucujem sve sa bg burger sosom! :)	1
Pica je bila ok, ali ništa više od toga. Palačinke jako loše, žilave.	0
hrana ukusna i lepo spremljena, ali dobijes manje nego sto porucis. krilca i parcici piletine za malu porciju po 5 komada, dobija se tri, eventualno 4 komada.	0
Sve na svom mestu, hrana je extra! Burgerisu najbolji u bg, bar po mom misljenju.	1
Teleca corba vrlo korektna, ali zato je porcija pasulja hladna,nedovoljno kuvana i prepuna luka.Generalni utisak je da je sve malo neozbiljno.	0
Za jednu od stvari su bili pogresni dodaci i bila je u tortilji a ne u lepinji kao sto je naruceno	0
zaista niska cena za vrhunsku pizzu	1
Prvo, kasnili su pola sata u odnosu na procenjeno vreme dostave, a drugo od soja sosa nema ni s.	0
Odlicna sarma i jos bolje suvo meso u njoj. Omiljeni restoran za kuvanu hranu	1
odlicno, ukusno i kvalitetno, jedina zamerka je sto sok nije isporucen a naplacen je	1
super hrana	1
Stigli za 15 minuta :)	1
Extra brzo i super ukusno	1
Cevapi ukusni, salata super, teleca corba i somun takodje...Bas nemam ni jednu jedinu zamerku.	1
Pokvarili se.. Jako losa prsuta.. Malo sira..puno pecuraka..veliko razocarenje.	0
Podgrevan pomfrit. Bez pribora. Ne čitaju napomene. Kasne.	0
Sve pohvale na racun ovog restorana :) Odlicna hrana, brza dostava, i uvek nasmejano osoblje!	1
Uz dve pice navodno ide gratis pepsi ili palacinka ali kada su pice stigle ispostavilo se da su zaboravili da ponesu pepsi	0
Umesto za 45 doneto za 30 minuta. Pice vruce, fil solidan, testo zilavo, cini mi se polugotovo. Sve u svemu, nije lose, mada ima mnogo boljih	0
Brzo, sveže i ukusno.	1
Sve je okej samo nismo dobili ono što smo poručili... Ali je hrana super, pa vam ne zameramo toliko.	1
Bezukusna, hladna pica. Dostava je kasnila pola sata	0
Naručujemo u glavnom piletinu. Kombinacija sa nudlama je fantastična.	1
Dostava stigla na vreme, a popaj piletina je stvarno prelepa i sigurno cu naruciti opet.	1
Odlicni ste uvek!	1
Nije prvi put da narucujemo, ali hranu smo ovog puta cekali 70 min, a dobili PODGREJAN (bajat) pomfrit.	0
brza dostava i super usluga	1
sve super, dostava najbrza moguca, savrseno.	1
Porucili smd dve palacinke sa dzemom i dodacima, i jednu nutelu sa plazmom i sa visnjom. Bile su pristojne ali palacinka sa nutelom nije imala visnje, iako su narucene i naplacene	0
Vrlo azurni. Isporuka na vreme i sve je jos toplo. Hrana je vrlo dobrog kvaliteta. Sve u svemu 5+.	1
Hrana nije ni približno kao sa postavljenih slika, na slikama je prikazano skroz neko drugo testo kao .	0
Kasnilo, dostavljac neraspolozen me nazvao da sidjem pa ga nije bil 5 minuta, a sokove nisu isporucili uopste a naplaceni su. Strasno.	0
Pasta je zaista odlicna, super cene, super kolicina, dobili ste stalnu musteriju!	1
svidja mi se specijal kuce... ...provalio ga prosli put i prijatno se iznenadio, ali za drugu porudzbinu  je dosla mlaka pica i pokvarila utisak	0
Poručili smo dve obrok salate i porodičnu picu. Hrana je stigla pre naznačenog vremena, po najvaćem pljusku, topla i preukusna! Sve pohvale i sve preporuke!	1
upravo smo dobili hranu koja smrdi! nemoguce je jesti ni  pilece meso ni lepinju.	0
Toplo,ukusno i stiglo brzo	1
meso je ocajno, palacinka je hladna tvrda, nuteli ni traga, a plazma je neka modifikovana, sa ukusom turskog keksa najgoreg!!!!!!! uzas!!!!!!!!!!!!!	0
Pizza je odlicna! Dostava u Minut tacna kao sto je trazeno.	1
jednostavno nisam dobio ono sto sam ocekivao za te pare,ni kolicinski ni kvalitetom..malo ispod teskog proseka.	0
fast food bez premca, najukusnija hrana za naruciti, dresing za piletinu/burger je savrsen	1
Sasvim OK porcija, dobra priprema hrane, brza dostava.	1
Naplacena dostava 300 din. umesto 150 din. Nismo dobili ajvar kao sto pise. Nekorektno!	0
Odlicna hrana, obilna porcija!	1
Vrhunski sve, stiglo vrelo! Cak i pomfrit! I zaborave luk i ljuto...Opraštam, sigurno ponovo!	1
Naslov govori sve. Jedna od najboljih, ako ne i najbolja. Hrana je stigla brzo, osoblje je izuzetno ljubazno i pica je bila izuzetna.	1
i dalje cekam	0
Dostavljač nije umeo da pronadje adresu, bukvalno sam ga jurio po naselju. Hrana nista posebno, bar palacinke.	0
Fenomenalno!	1
Navedena besplatna dostava za porudzbine preko 750,a svejedno je naplatili iako je poruceno za iznos preko 750. Pica nije bila pecena,palacinka losa. Sve u svemu losa preporuka.	0
Odlicna pica, testo je mekano i sir je ukusan.	1
Ova pizza je kao i Djapeto savrsena i za svaku preporuku. Stiglo pre vremena, preukusno, ispostovali su zelju za malo vise pecuraka na pizzi.	1
super i brzo	1
they put so much salt to hide that they dont know how to prepare a good pizza. Nevermore	0
Kasnili su pola sata (rečeno je bilo 60 minuta, došli su za više od 90), pizza je bila hladna i neukusna (nigde traga od punjenih ivica).	0
Teleća čorba i pileće ćufte su bile odlične. Po izuzetno vrelom danu dostavljač je došao ranije, sa još uvek toplom hranom. Sigurno ću da nastavim da naručujem od njih.	1
Hrana nije loša, iako je previše začinjena. Doneta je na vreme, ali je preskupo za ono što se dobije.	0
pica vrh, brza dostava	1
Pizza Bjanko stigla na vreme, vruća i odlično upakovana. Vrlo ukusna, testo uopšte nije teško za stomak, susam korice su prosto sjajne. Naručiću opet.	1
Prvi put narucujemo od vas, ali nismo se pokajali. Pica odlicna, ovaj vikend popust je savrsen, dostavljac prijatan i efikasan.	1
Fresh and healthy. little bit pricey, but its worthed. Something oriental to give perk to your oh-so-routine daily life.	0
Odlicna, ispostovano sve sto je napisano.	1
Brzina dostave odlična ali hrana.. meso nije bilo pečeno. Lepinja je odlična	0
standardno dobro!!!	1
Naručili smo pice od 24.cm, ali su se činile dosta manjim. Cezar salata je bila siromašna a palačinke osrednje. Svetla tačka su bile kore od pice koje su bile iznad proseka.www	0
Kao i uvek odlicno, ukusno, brzo.	1
Dostava tacna i na vreme. Hrana odlicna. Narucujemo ponovo.	1
"Naručena pršuto pica a stigla pica bez pršute ili bilo kakvog mesa.. Vegeterijana klasična! A na kutiji uredno piše ""Pršuto""!"	0
Ukusna hrana	1
Odlicnoooo jako mi se svidja uvek brzo i tolpo mi isporuce sve pohvale...	1
Prva porudžbina iz ovog restorana. Hedansa pica. Stigla vrela, brza dostava, fenomenalan ukus. Preporuke.	1
Brzo i jako ukusno!	1
Hrana je vrhunska. Sendvič je ogroman i veoma bogat. Palačinke su super, malo deblje ali ne predebele, malo više namaza u njima ne bi škodilo doduše.	1
extra pica, stigla na vreme, topla, ispostovani specijalni zahtevi ..	1
Sveobuhvatan obrok, sasvim dovoljan  za jednu osobu i ukusan sa pristupacnom cenom!	1
trazio sam prsutu , a dobio pecenicu ... :(	0
Sve je ok ali malo vise safta u jelu nebi škodilo (suvo)	1
čorba stigla topla, giros sasvim dovoljan uz pepsi i krofnu- fin obrok	1
Restoran je kasnije objasnio da se u ombolu mesaju bukovace i sampinjoni. Da znaju i drugi koji narucuju.	0
Odlične pice. Testo je fenomenalno. I sledeći put ću od njih naručiti. Nadam se da neće pokvariti kvalitet.	1
izvanredno! najboli odnos cene i kvaliteta. Nemojte da se pokvarite	1
ali necemo više naručivati od njih	0
Do sada je pica uvek bila odlična, dopada mi se što je kvalitet hrane dosledan i nema neprijatnih iznenađenja. Jedino bih zamerio da testo ume da bude neslano.	1
Prvi utisak je odličan, dobar izbor jela, ok cene. Jako brzo je stiglo, rekli su 45 min, a došlo je za 30. Punjene tikvice i čorbast pasulj sa kobasicom odlični, kao mamina kuhinja :)	1
Dobra pizza, dostava na vreme.	1
Sve najboljeeee	1
Slatko-kiselo-ljuta piletina sa susamom je bila preslatka i masna. 460 dinara je baceno na slatke ustipke sa mrvicama piletine, LOSE!	0
hladno, bljutavo, piletina je previse zacinjena ali i dalje bljutava. Jedino sto je za pohvalu je to sto je brzo dostavljeno.	0
Ok salata, ali nije bas cezar salata kakvu bi vecina ocekivala. Porcija je velika i zaista je pristojan ukus. Brza dostava!	1
Kasnila je dostava , ali je hrana bila ukusna...	0
Pica je bila preslana i prilično žilava. Nisam bila oduševljena.	0
Bilo extra!	1
Generalno sam nezadovoljan kvalitetom pice... Moze to mnogo bolje!	0
Preporucujem!	1
stiglo hladno i sa velikim zajasnjenjem (od 45 min) ali ipak ukusno i obilno	0
Narucio sam pizzu velicine 55 cm a ne dve mini pizze... Mogli su barem da napisu da stizu dve ili neki opis da stave.	0
Cheeseburger, pomfrit, palacinke - sve odlicno, bogato, toplo, stiglo pre vremena. Dostavljac jako ljubazan. Sve pohvale	1
sos brasnjav, komadi kikirikija gde ne treba da ih bude, vegetarijanski obrok sa komadicima mesa..kasnjenje dostave.	0
Big burgeri odlicni kao i pomfrit. Stiglo toplo i pre najavljenog vremena. Zovemo opet :)	1
Jako dobra pizza!	1
skupa  mala porcija bez imalo dodataka koje sam trazio i platio stvarno sramota.	0
Vec treci put narucujemo i sve je fenomenalno!	1
Hrana je super ali mesaju priloge i uvek, UVEK kasne 45+ minuta!	0
stiglo na vreme, meso skoro pa hladno, kecap i luk stavili taman za dva cevapa od 5 koliko ide u porciji	0
porcija mala vise bi rekao pola porcije,povrce bez mirisa i ukusa nauljeno,kvalitet hrane los	0
Nikad nisam imala problema s narudzbinom i sve je savrseno kao i uvekk❤❤	1
Na sajtu pise 40min, stiglo za 75min. Hladna hrana	0
nije bilo ukusno	0
Uopšte nije bilo ljuto!!!  slanine nije bilo ni na crtežu, a pelat je došao posebno i hladan!!!	0
Salata je bila preslana, sa previše dresinga. Kao da sam jela posoljenu pavlaku. Sve u svemu loše.	0
Rebarca su solidna,wrap srednje zalostan.	0
Stigla na vreme, ali pogrešna narudžbina. Ljuto i začinjeno.	0
Batak je bio ziv a pomfrit je bio toliko ocajan da ga je nemoguce opistai, i cela vecnost im treba da stignu sa Cubure do Dorcola......	0
S obzirom na cenu radovao sam se kvalitetu. Nije to ni priblizno zlatiborskim specijalitetima.	0
Hrana je ukusna, porcije nisu prevelike, za te pare moze I bolje... 3/5	0
"Kazu 45 minuta. Hrana stigla za 65. Pica potpuno hladna, ukus osrednji, a isecena je nepravilno. Promasaj u svakom smislu. Nije za preporuku. Jeli smo ""Srbijanu"" tuzno."	0
Odavno nisam jeo losiju picu, testo pola milimetra debelo, a pica je bila 4gdoba, a od toga je bio neki parce sa necim i nko parce sa nekom salomom. Uzas, ne porucujem vise odavde	0
Po ko zna koji put, najbolji restoran kineske hrane sa dostavom	1
Moja preporuka!	1
...Ali samo moram da kažem da su preskupi kada se radi o dva-tri obroka, dakle isplati se samo naručivati na veliko.	0
odlicna !!!	1
Bas super, nema zamerki.	1
Ništa posebno. Koliko sam pohvala čula za minutu, jednom sam naručila i neću više sigurno.	0
Sve je bilo super.	1
Narucena piletina sa sampinjonima umesto nje doneli oslic, porcija puna vode ili cega god, bezukusno, bez zacina!!! OSLIC!!	0
Kao i obicno, sve je super. Odlicna teleca corba (puna mesa). Usluga odlicna.	1
Usluga dobra, ali kvalitet hrane jako los. Konkretno palacinke	0
Ovde lepo pise da je minimum 100 dinara.Narucili smo za 470 dinara i naplacena nam je dostava oko 350 dinara.Nije u redu zato sto nigde niste napomenuli.	0
Kilogram mesa je bilo ok, porucili smo 3 palacinke al smo dobili samo jednu (sve tri su naplacene)	0
Narucio sam lazanje,stizu sa pola sata (bukvalno) kasnjenja..odnosno,stize neka pileca salata ili sta vec,nisam siguran.Jedino mogu da kazem da je bilo koliko-toliko ukusno	0
Testo ekstremno tanko. Na delovima pregorelo i tvrdo kao kamen. Iako sam stavila 10ak priloga, pica koju sam dobila je bila poluprazna.	0
Odlicna pizza, dostava brza	1
samo malo veca da je porcija	1
piletina pohovana odlicna ali slane palacinke predebele, sa malo mesa i pavlake unutra, iskreno, bas promasaj	0
Stiglo na vreme ali od dve porcije cevapa na kajmaku stigla jedna, ali su uredno naplatili obe.	0
Pica je isporucena 5 minuta pre vremena, nadev je bio socan i debeo, testo super ispeceno, cak je bila i vrlo lepo dekorisana :) Veoma uksna. Svaka preporuka!	1
Hrskava piletina odlična 5.00.	1
Nije lose,a moze i bolje mnogo!Mrzi me da vise pisem.	0
za 580 din nema bolje	1
Ukusno, kolicinski dovoljno,toplo i brza dostava.	1
Rostilj odlican, pohovani kackavalj super.	1
testo pretanko, fila premalo, pica premasna, rok isporuke 55 min iako su na 5 min. probili za pola sata i jace, i to sve za cenu od 670 za najmanju picu. Definitivno VISE NIKAD kod njih.	0
Sve pohvale. Kvalitetno, toplo i brzo.	1
Stigi su pre predvidjenog vremena.Pica je prava domacinska-bogatija nego kod kuce da je pravljena.Ukus-fantastican.Dostavljac jako ljubazan i fin.	1
posle 80 minuta cekanja, hrana je bila hladna, a kolaci-iz go re li...verovali ili ne...	0
Odlicni ste, samo tako nastavite!	1
Predugacka dostava.	0
Kazu za 40 min dostava dosla za 110 mislim prava sitnica, hrana hladna, lepinja suva i pomfrit vodenast.	0
Hrana ukusna kao i uvek kod Jefte, ali je dostava kasnila citavih pola sata. Takodje, informacije o ceni dostave nisu tacne, platio sam 250 din za Vidovdansko naselje	0
Hrana stigla bez dodataka.	0
Kasnili sat vremena, pogrešni prlozi, totalna nezainteresovanost.............	0
sendvici su isto ko papuce, jaja su hladna i pecena na oko a nisu kuvana kao sto je navedeno a kutije su vam vrh jedino one valjaju i kole :)	0
na najavljenih 60 min su kasnili 40 min bez poziva niti izvinjenja.. tako se gubi musterija..	0
narucivao sam 2,3 puta odavde i bilo je solidno,ali danas stiglo gnjecavo nedovoljno peceno testo...uzas..zbog ovog vise necu narucivati	0
Porudzbina nije stigla.	0
piza je ruzna , neopisivo ruzna	0
Am...  zašto piše kukuruz, ako ne planirate da stavite ni zrno?	0
prvi i poslednji put sam porucio. nigde ne pise da treba posebno pirinac da se naruci. piletinu kao da su rukama kidali a ne seckali....sve u svemu jako lose!!!	0
Pizza je premasna.	0
Lazanje nije lose, ali je dostava kasnila 15 min.	0
dostava je kasnila sat vremena,nisu dosle palacinke,pica hladna	0
bez zamerke, socno, ukusno, brza dostava	1
male porcije krajcovanje	0
Vrhunski rostilj.	1
Najbolja kineska hrana sa dostavom	1
Narucili smo curetinu i piletinu i sve sto mozemo da kazemo je da je bilo jestivo i nista vise od toga...	0
Pica 4 u 1 ukusna, socna. Brza dostava.	1
jako los kvalitet hrane,pasulj redak,suvo meso bezukusno ,salate male porcije a preskupe,restoran za izbegavanje.	0
